_id,ASSISTANCE_YEAR,ASSISTANCE_TERM,UNIVERSITY,AGE,COUNTY,NUMBER_OF_STUDENTS
1,2019,1,Karadeniz Teknik Üniversitesi,25,BAĞCILAR,1
2,2020,1,Boğaziçi Üniversitesi,22,BEYLİKDÜZÜ,1
3,2020,1,Manisa Celâl Bayar Üniversitesi,20,SULTANBEYLİ,3
4,2020,1,İstanbul Bilgi Üniversitesi,19,AVCILAR,1
5,2019,2,İstanbul Medeniyet Üniversitesi,21,ÜSKÜDAR,6
6,2019,2,Muğla Sıtkı Koçman Üniversitesi,23,KÜÇÜKÇEKMECE,1
7,2020,1,Atatürk Üniversitesi,24,SULTANBEYLİ,2
8,2019,2,İstanbul Üniversitesi-Cerrahpaşa,21,BAKIRKÖY,1
9,2019,2,Muğla Sıtkı Koçman Üniversitesi,22,KARTAL,1
10,2019,1,Karabük Üniversitesi,21,ESENLER,2
11,2019,2,Aydın Adnan Menderes,19,BÜYÜKÇEKMECE,1
12,2020,1,Bursa Uludağ Üniversitesi,22,GÜNGÖREN,2
13,2019,1,Doğu Akdeniz Üniversitesi,24,BAHÇELİEVLER,1
14,2019,1,Ondokuz Mayıs Üniversitesi,20,KAĞITHANE,1
15,2019,2,Sağlık Bilimleri Üniversitesi,20,BAĞCILAR,5
16,2019,2,İzmir Katip Çelebi Üniversitesi,21,KARTAL,2
17,2019,1,İstanbul Üniversitesi,26,PENDİK,1
18,2019,2,Düzce Üniversitesi,20,ESENYURT,7
19,2020,1,Erzurum Teknik Üniversitesi,21,GAZİOSMANPAŞA,1
20,2019,2,Karabük Üniversitesi,22,SANCAKTEPE,3
21,2020,1,Ege Üniversitesi,19,KARTAL,2
22,2020,1,Manisa Celâl Bayar Üniversitesi,22,BAYRAMPAŞA,1
23,2019,2,Eskişehir Teknik Üniversitesi,21,ÜMRANİYE,1
24,2019,1,İstanbul Teknik Üniversitesi,20,KÜÇÜKÇEKMECE,3
25,2019,1,İstanbul Medeniyet Üniversitesi,21,KÜÇÜKÇEKMECE,3
26,2020,1,Kütahya Dumlupınar Üniversitesi,19,PENDİK,1
27,2019,1,İstanbul Medipol Üniversitesi,21,FATİH,1
28,2019,2,Bursa Uludağ Üniversitesi,22,AVCILAR,3
29,2019,1,Çanakkale Onsekiz Mart Üniversitesi,20,BEYLİKDÜZÜ,1
30,2019,1,Atatürk Üniversitesi,23,ESENLER,1
31,2019,2,Süleyman Demirel Üniversitesi,22,SANCAKTEPE,1
32,2019,1,İstanbul Üniversitesi,20,ZEYTİNBURNU,9
33,2020,1,Dokuz Eylül Üniversitesi,24,ÜSKÜDAR,1
34,2019,1,Bolu Abant İzzet Baysal Üniversitesi,22,TUZLA,2
35,2019,1,Balıkesir Üniversitesi,21,PENDİK,2
36,2019,1,Muğla Sıtkı Koçman Üniversitesi,22,EYÜPSULTAN,1
37,2019,2,Mimar Sinan Güzel Sanatlar Üniversitesi,23,ZEYTİNBURNU,1
38,2019,2,Sakarya Üniversitesi,20,AVCILAR,3
39,2020,1,Marmara Üniversitesi,18,BAYRAMPAŞA,1
40,2019,1,Mimar Sinan Güzel Sanatlar Üniversitesi,20,BAHÇELİEVLER,3
