_id,YIL,YARDIM_TALEBI,BASVURU_SEKLI,BASVURU_TIPI,CINSIYET,BASVURU_ADEDI
1,2012,AKÜ,DİLEKÇE,ENGELLILER,KADIN,2
2,2012,AKÜ,DİLEKÇE,ENGELLILER,ERKEK,1
3,2012,AKÜ,DİLEKÇE,YAŞLILAR,ERKEK,2
4,2012,AKÜ,DİLEKÇE,ENGELLILER,ERKEK,5
5,2012,AKÜ,DİLEKÇE,ENGELLILER,ERKEK,1
6,2012,AKÜ,DİLEKÇE,ENGELLILER,KADIN,1
7,2012,AKÜ,DİLEKÇE,ENGELLILER,ERKEK,1
8,2012,AKÜ,DİLEKÇE,VATANDAŞ,KADIN,1
9,2012,AŞEVİ,DİLEKÇE,VATANDAŞ,ERKEK,5
10,2012,AŞEVİ,DİLEKÇE,ENGELLILER,KADIN,1
11,2012,AŞEVİ,DİLEKÇE,YAŞLILAR,ERKEK,3
12,2012,AŞEVİ,DİLEKÇE,VATANDAŞ,ERKEK,44
13,2012,AŞEVİ,DİLEKÇE,VATANDAŞ,ERKEK,2
14,2012,AŞEVİ,DİLEKÇE,VATANDAŞ,KADIN,1
15,2012,AŞEVİ,DİLEKÇE,ENGELLILER,ERKEK,8
16,2012,AŞEVİ,DİLEKÇE,ENGELLILER,ERKEK,1
17,2012,AŞEVİ,DİLEKÇE,ENGELLILER,ERKEK,1
18,2012,AŞEVİ,DİLEKÇE,VATANDAŞ,ERKEK,3
19,2012,AŞEVİ,DİLEKÇE,ENGELLILER,ERKEK,2
20,2012,AŞEVİ,DİLEKÇE,VATANDAŞ,KADIN,1
21,2012,AŞEVİ,DİLEKÇE,YAŞLILAR,KADIN,1
22,2012,AŞEVİ,DİLEKÇE,VATANDAŞ,KADIN,18
23,2012,AŞEVİ,DİLEKÇE,YAŞLILAR,ERKEK,2
24,2012,AŞEVİ,DİLEKÇE,VATANDAŞ,KADIN,3
25,2012,AŞEVİ,DİLEKÇE,VATANDAŞ,KADIN,1
26,2012,AŞEVİ,DİLEKÇE,YAŞLILAR,KADIN,1
27,2012,AŞEVİ,DİLEKÇE,VATANDAŞ,ERKEK,2
28,2012,AŞEVİ,DİLEKÇE,VATANDAŞ,ERKEK,4
29,2012,AŞEVİ,DİLEKÇE,YAŞLILAR,ERKEK,1
30,2012,AŞEVİ,DİLEKÇE,YAŞLILAR,KADIN,1
31,2012,AŞEVİ,DİLEKÇE,VATANDAŞ,ERKEK,18
32,2012,AŞEVİ,DİLEKÇE,YAŞLILAR,ERKEK,8
33,2012,AŞEVİ,DİLEKÇE,ENGELLILER,ERKEK,1
34,2012,AŞEVİ,DİLEKÇE,VATANDAŞ,KADIN,1
35,2012,AŞEVİ,DİLEKÇE,VATANDAŞ,ERKEK,2
36,2012,AŞEVİ,DİLEKÇE,VATANDAŞ,ERKEK,9
37,2012,AŞEVİ,DİLEKÇE,YAŞLILAR,KADIN,1
38,2012,AŞEVİ,DİLEKÇE,ENGELLILER,KADIN,1
39,2012,AŞEVİ,DİLEKÇE,VATANDAŞ,KADIN,2
40,2012,AŞEVİ,DİLEKÇE,VATANDAŞ,KADIN,3
41,2012,AŞEVİ,DİLEKÇE,VATANDAŞ,ERKEK,17
42,2012,AŞEVİ,DİLEKÇE,VATANDAŞ,ERKEK,3
43,2012,AŞEVİ,DİLEKÇE,VATANDAŞ,KADIN,1
44,2012,AŞEVİ,DİLEKÇE,VATANDAŞ,ERKEK,2
45,2012,GIDA,DİLEKÇE,FENİLKETONÜRİ HASTASI,ERKEK,2
46,2012,GIDA,DİLEKÇE,DENETİMLİ SERBESTLİK,KADIN,4
47,2012,GIDA,DİLEKÇE,YAŞLILAR,KADIN,6455
48,2012,GIDA,DİLEKÇE,ŞEHIT VE GAZI AILELERI,ERKEK,1271
49,2012,GIDA,DİLEKÇE,ÇÖLYAK HASTASI,KADIN,11
50,2012,GIDA,DİLEKÇE,SELZEDE,ERKEK,13
51,2012,GIDA,DİLEKÇE,DEPREMZEDE,KADIN,13
52,2012,GIDA,HİM,YAŞLILAR,KADIN,4
